-- 0 --a:1  --b:24 ---
2:  3.09777%
3:  3.87222%
4:  2.71055%
5:  2.90416%
6:  2.03291%
7:  3.19458%
8:  3.38819%
9:  3.19458%
10:  3.38819%
11:  2.22652%
12:  2.51694%
13:  3.77541%
14:  3.00097%
15:  2.71055%
16:  3.87222%
17:  2.71055%
18:  3.5818%
19:  3.38819%
20:  3.87222%
21:  4.35624%
22:  2.71055%
23:  2.90416%
24:  3.09777%
25:  3.09777%
26:  2.12972%
27:  3.5818%
28:  3.77541%
29:  3.00097%
30:  3.09777%
31:  3.96902%
32:  2.80736%


-- 26 --a:1  --b:36 ---
1 20 26 5 9 30 1 11 16 14 22 20 32 9 1 11 15 16 23 18 18 28 35 22 20 33 7 22 26 16 10 24 7 35 11 16 5 25 10 10 20 4 14 6 30 28 4 11 8 27 21 7 20 17 1 20 5 7 5 32 23 18 3 24 33 23 15 17 30 2 6 25 28 30 2 28 4 26 4 12 3 22 30 19 27 19 6 4 6 29 34 11 21 15 16 28 27 24 25 2 12 12 33 24 22 35 20 3 24 23 27 8 6 4 1 25 23 10 24 26 6 5 19 11 21 7 17 26 7 1 9 6 5 8 8 26 11 20 24 27 31 23 35 18 6 14 24 6 5 20 5 10 35 23 29 22 17 32 17 19 14 11 11 35 16 23 11 17 35 3 9 35 6 15 33 17 15 30 31 13 23 10 16 19 32 24 15 26 5 32 3 22 18 10 3 4 5 2 2 28 23 32 33 2 9 18 5 4 33 35 28 7 17 6 16 8 4 34 15 10 34 25 12 17 3 24 7 16 5 22 2 19 1 35 35 20 11 32 27 17 14 29 11 9 2 8 3 10 22 20 25 16 28 23 18 35 16 7 17 11 3 9 18 10 26 34 14 4 18 6 8 17 14 28 4 21 17 11 8 33 2 27 22 3 5 17 24 3 17 25 19 7 3 21 20 28 33 12 19 27 34 19 21 23 17 35 34 7 8 2 27 18 10 15 31 6 8 8 4 28 12 28 9 30 19 10 22 19 31 28 30 26 17 1 13 4 4 35 23 1 23 33 2 10 6 27 26 14 14 30 28 32 14 25 17 16 35 14 33 6 31 28 17 1 17 28 6 34 20 18 11 11 21 14 27 9 30 28 16 12 24 16 32 25 1 24 4 22 8 27 26 33 18 18 20 9 15 17 35 10 14 13 33 10 11 11 28 11 10 19 22 35 9 31 19 5 9 34 27 9 18 9 32 23 21 33 15 4 27 29 3 14 33 18 32 22 28 12 13 9 35 2 22 21 31 32 35 9 27 26 15 23 10 32 17 35 27 4 26 26 17 11 18 13 20 31 31 15 26 24 25 32 25 24 19 13 24 11 18 24 31 34 9 15 12 27 2 26 21 18 1 15 22 8 5 25 13 9 8 32 26 11 2 20 29 30 4 33 8 31 6 24 2 10 3 6 19 12 10 35 7 35 16 20 3 26 29 34 30 14 22 19 34 23 21 32 21 15 34 1 35 12 17 17 21 8 22 9 28 20 4 3 16 35 19 29 9 28 6 35 6 30 25 27 10 15 15 16 22 28 27 17 24 34 20 3 11 16 17 13 26 21 31 35 30 13 33 30 7 31 29 12 16 12 34 25 16 6 5 23 4 33 28 35 34 29 22 35 1 28 20 11 13 21 10 24 23 2 12 30 24 22 23 19 9 13 12 31 5 12 1 34 22 3 30 23 1 3 33 19 8 7 10 17 32 22 19 15 25 22 11 5 25 25 10 2 21 15 7 18 27 32 32 7 31 7 32 14 24 19 30 20 13 17 5 7 11 34 7 34 1 29 9 35 5 13 2 28 28 23 9 3 6 20 15 14 6 13 19 2 12 27 29 31 17 28 30 27 15 22 28 18 20 1 12 18 6 14 20 31 18 12 14 11 27 29 22 20 5 8 3 18 3 32 32 25 22 5 33 33 13 29 18 28 26 8 35 24 10 12 14 18 35 24 33 11 14 1 6 26 10 9 34 27 35 25 6 27 3 4 3 5 32 24 20 34 13 7 30 2 14 6 5 24 33 22 21 6 2 31 3 23 12 7 26 14 33 23 19 23 7 23 24 33 15 16 34 10 32 22 4 19 18 5 18 30 23 34 11 23 11 1 10 7 34 14 28 11 26 30 25 19 11 13 8 28 19 19 20 13 34 1 31 10 2 18 11 26 34 31 31 32 31 16 2 5 10 15 23 11 10 5 16 2 28 5 24 25 27 17 3 31 8 9 2 22 22 11 28 24 31 34 13 25 34 13 15 25 29 12 21 17 34 32 32 26 24 1 35 20 20 29 15 4 16 26 8 18 1 3 17 17 7 28 26 7 6 13 17 6 5 10 1 21 15 2 31 26 18 21 31 7 27 18 8 22 1 2 13 1 18 6 27 19 33 9 2 26 28 23 14 7 4 8 34 3 16 23 27 15 22 22 29 14 5 1 35 1 31 32 34 6 33 15 31 28 5 31 26 30 9 25 18 16 14 24 29 4 4 16 21 4 7 35 19 15 29 32 33 13 16 11 18 1:  2.79163%
2:  2.79163%
3:  2.79163%
4:  2.69192%
5:  3.09073%
6:  3.19043%
7:  2.79163%
8:  2.39282%
9:  2.69192%
10:  3.09073%
11:  3.58923%
12:  2.19342%
13:  2.29312%
14:  2.69192%
15:  2.89133%
16:  2.79163%
17:  3.48953%
18:  3.38983%
19:  2.89133%
20:  2.89133%
21:  2.09372%
22:  3.38983%
23:  3.09073%
24:  3.09073%
25:  2.39282%
26:  2.99103%
27:  2.89133%
28:  3.58923%
29:  1.79462%
30:  2.29312%
31:  2.89133%
32:  2.89133%
33:  2.69192%
34:  2.99103%
35:  3.48953%


-- 27 --a:1  --b:34 ---
2 32 16 28 30 23 2 5 28 16 33 3 22 5 30 30 32 4 6 28 30 3 1 5 11 18 17 24 15 14 29 25 20 28 32 23 9 26 7 22 4 29 4 14 16 16 16 21 26 2 25 25 31 30 16 18 15 27 20 28 10 21 21 25 28 23 17 11 17 2 8 25 11 10 8 14 32 28 4 24 6 12 15 17 22 29 17 12 5 4 16 30 21 16 11 12 6 23 14 16 32 6 7 32 30 20 30 23 26 18 33 8 29 8 9 24 25 3 8 14 4 27 30 21 7 30 23 1 18 17 27 30 17 22 33 5 24 26 7 26 25 18 15 17 26 11 13 20 9 16 30 15 14 23 23 9 23 9 13 31 22 21 4 20 26 23 30 17 26 15 1 32 30 19 7 20 11 22 6 23 28 32 19 1 6 12 12 2 29 3 9 17 9 10 9 13 22 5 8 22 9 16 15 12 6 16 31 10 18 22 32 12 23 25 5 25 1 7 10 14 10 1 3 25 20 7 17 4 23 14 31 12 14 24 24 29 25 17 27 22 17 29 30 24 10 2 11 28 19 22 2 21 27 32 11 13 18 8 9 6 31 2 25 12 26 28 23 4 28 14 5 18 17 23 15 11 14 29 26 10 31 14 19 3 11 31 8 27 19 23 5 22 18 1 12 14 29 23 22 22 8 12 30 1 2 18 1 28 14 6 2 4 2 12 17 8 18 29 24 29 2 4 12 33 3 1 4 31 10 18 19 31 2 17 12 9 9 22 5 15 5 15 30 32 20 26 13 26 25 6 14 20 2 27 11 22 31 33 2 29 5 20 15 26 14 29 33 23 13 18 30 31 2 22 14 17 32 6 31 18 8 15 2 26 4 16 1 23 30 26 23 10 9 3 15 22 11 15 5 13 29 25 29 9 11 28 14 23 19 24 26 14 3 6 12 20 32 21 29 17 18 4 23 28 27 23 9 19 27 17 23 18 9 23 25 33 26 8 10 9 29 2 17 7 4 10 22 5 9 6 29 28 2 18 33 5 11 24 6 10 17 11 8 18 28 10 33 23 23 29 21 8 30 33 25 14 28 22 25 20 33 31 6 6 27 15 30 11 2 25 24 11 18 11 5 11 5 25 21 12 16 11 29 26 11 15 1 31 33 17 25 30 30 33 21 26 7 27 9 5 8 3 12 7 1 5 33 27 31 12 24 31 31 9 19 16 19 21 19 21 3 1 8 5 19 33 10 24 26 14 6 30 22 3 12 17 2 29 10 22 32 23 21 4 4 13 21 12 14 15 1 33 17 7 29 13 30 12 11 15 11 15 16 14 32 1 33 19 8 3 14 14 24 32 26 27 10 2 13 2 9 26 28 11 6 22 33 27 6 15 18 11 18 13 6 18 29 19 33 10 27 27 24 12 20 18 9 24 23 9 18 30 5 18 28 5 1 7 3 28 3 33 13 27 4 27 10 20 7 3 25 18 6 10 13 29 2 10 24 31 29 5 30 22 9 11 3 14 30 1 28 32 27 4 14 8 19 24 28 28 1 7 12 12 16 15 24 4 22 12 21 30 24 4 16 26 26 5 33 15 19 24 23 29 18 10 11 27 8 31 18 26 12 27 9 12 7 29 3 16 30 24 14 20 8 13 29 24 12 22 32 31 8 29 30 21 12 26 15 21 13 12 6 31 1 8 25 14 8 17 10 6 1 24 30 29 5 6 3 21 6 8 11 5 24 4 25 4 14 33 22 22 12 20 10 12 32 26 12 14 20 3 17 14 14 27 27 20 30 24 10 5 12 5 2 12 8 27 6 1 29 32 13 2 13 1 25 6 16 24 33 28 11 14 25 17 30 26 9 28 13 28 11 10 7 30 12 16 17 28 12 23 12 3 24 8 32 3 30 11 3 12 12 33 21 30 28 6 1 20 17 1 18 19 28 4 8 6 2 3 2 9 2 12 24 21 33 10 2 14 26 5 28 19 27 4 5 24 6 9 27 8 16 22 1 25 9 14 33 6 2 17 24 21 7 23 17 28 4 23 19 10 10 4 8 7 32 5 17 32 6 1 19 18 21 15 22 20 28 3 8 6 21 17 24 4 30 9 13 23 22 28 1 6 12 9 1 19 30 29 21 3 31 7 28 13 24 3 31 6 11 26 31 27 12 20 33 8 7 6 21 23 13 33 9 6 25 16 7 10 12 6 26 2 25 5 23 23 9 26 33 23 14 12 17 10 32 28 18 6 12 20 19 6 26 24 10 9 27 1 10 16 1:  2.99401%
2:  3.19361%
3:  2.69461%
4:  2.79441%
5:  3.19361%
6:  3.99202%
7:  2.09581%
8:  3.09381%
9:  3.39321%
10:  3.29341%
11:  3.19361%
12:  4.59082%
13:  2.09581%
14:  3.69261%
15:  2.39521%
16:  2.39521%
17:  3.39321%
18:  3.09381%
19:  2.19561%
20:  2.19561%
21:  2.59481%
22:  3.09381%
23:  3.79242%
24:  3.39321%
25:  2.79441%
26:  3.29341%
27:  2.79441%
28:  3.49301%
29:  3.19361%
30:  3.89222%
31:  2.39521%
32:  2.39521%
33:  2.89421%


-- 28 --a:1  --b:25 ---
17 17 24 9 20 23 4 1 11 17 17 6 23 23 22 3 2 19 15 6 2 1 2 21 7 23 23 1 12 2 12 11 12 16 2 18 2 2 22 13 16 7 4 9 23 22 16 16 16 22 11 1 22 19 11 10 6 18 2 9 24 17 1 16 2 8 23 15 2 4 20 12 3 4 8 4 10 5 21 9 19 1 8 18 24 15 13 9 21 16 7 7 2 7 14 23 1 4 4 22 15 24 24 6 17 22 14 12 13 12 11 18 15 18 6 14 11 19 10 3 24 15 18 1 17 22 18 21 3 1 8 24 13 22 19 12 13 18 20 4 22 7 1 7 9 3 5 12 13 9 14 14 9 2 22 16 23 13 1 16 24 13 10 16 10 18 22 11 14 3 7 13 11 13 8 8 21 1 4 1 19 13 8 21 16 4 20 11 20 18 20 4 12 24 10 16 11 10 4 8 4 24 22 6 18 2 8 7 12 14 10 16 18 21 13 18 12 10 12 20 21 12 19 5 7 24 2 21 16 18 17 5 19 9 24 9 11 19 19 3 5 23 9 14 17 24 8 3 6 6 5 15 17 23 18 15 14 18 23 8 17 13 21 17 21 19 13 21 21 2 11 21 15 18 7 7 4 17 6 23 17 8 3 17 16 8 3 12 24 21 22 5 13 10 17 6 4 9 14 8 7 9 20 23 18 18 20 24 13 17 12 10 3 24 1 18 15 7 10 9 8 9 11 7 16 1 10 3 24 5 3 5 20 7 15 11 8 24 5 18 5 20 23 22 16 12 12 8 22 4 16 16 7 21 8 16 3 23 4 24 14 7 19 20 8 2 21 20 13 20 13 17 20 4 4 21 19 14 13 3 23 1 18 6 11 14 15 4 11 16 17 23 23 7 1 16 5 23 23 16 11 4 23 7 11 5 24 19 4 17 7 20 1 24 22 22 6 2 18 3 23 6 5 6 7 16 19 7 2 22 4 16 2 20 16 4 21 4 19 20 21 7 13 7 19 7 14 1 24 2 17 22 17 4 4 18 7 21 12 15 10 2 10 8 24 10 9 9 6 14 23 6 8 23 14 18 16 18 15 19 21 24 22 22 4 24 20 2 13 22 17 2 15 9 18 17 10 12 2 6 17 2 13 19 11 18 19 4 13 8 19 7 23 21 20 20 21 15 12 13 16 1 10 23 15 15 16 9 15 14 18 7 8 21 16 8 24 1 9 15 2 2 11 18 8 18 10 20 24 6 20 14 5 23 9 15 13 10 19 6 24 3 1 21 19 21 14 10 18 18 6 22 24 18 21 6 22 1 6 9 4 13 21 4 2 20 11 21 19 13 1 6 16 24 18 21 16 11 20 2 14 5 9 18 1 19 7 23 20 18 1 5 5 5 21 3 21 24 6 10 12 16 3 11 1 4 6 22 18 24 20 9 24 7 3 10 1 23 3 20 1 23 5 23 21 17 8 15 23 5 7 1 12 5 5 19 4 23 11 6 8 8 12 15 21 2 11 1 19 8 20 4 10 15 5 17 20 10 7 3 12 1 14 21 12 14 13 18 13 18 24 22 23 20 21 8 6 6 2 8 22 2 7 11 8 6 8 19 22 7 5 16 5 1 7 1 24 8 20 10 19 1 12 1 15 3 24 11 7 10 3 15 10 4 8 14 20 8 20 23 19 11 19 2 14 20 13 22 12 15 9 9 11 1 23 2 3 2 16 4 15 15 10 23 24 15 14 11 7 23 12 10 2 18 2 12 11 8 12 12 5 5 20 24 9 22 9 2 5 13 21 18 24 7 15 23 10 9 14 3 3 14 4 15 2 24 11 22 14 7 21 6 11 11 23 7 20 15 7 18 12 5 20 14 21 5 3 13 19 19 21 10 11 11 20 24 14 14 15 7 17 24 13 4 23 11 16 21 8 13 20 22 22 3 3 12 14 8 3 9 8 9 16 9 7 16 8 20 1 9 7 9 12 15 1 16 22 9 16 17 15 20 10 14 13 10 10 16 8 19 4 12 19 5 19 11 10 20 11 16 18 2 24 24 17 22 23 12 7 11 23 6 3 16 5 17 4 4 13 5 6 21 17 17 1 6 23 15 18 1 23 1 24 14 19 2 7 13 2 17 12 14 17 3 14 11 2 11 10 19 8 4 21 5 16 17 9 16 11 11 10 3 1 18 17 17 8 13 10 20 18 21 10 2 21 4 16 17 24 20 10 17 6 5 11 9 5 15 5 11 7 15 21 21 7 16 19 7 9 13 22 11 23 3 12 21 1:  4.27435%
2:  4.37376%
3:  3.47913%
4:  4.27435%
5:  3.77734%
6:  3.37972%
7:  4.97018%
8:  4.37376%
9:  3.77734%
10:  4.07555%
11:  4.67197%
12:  3.77734%
13:  3.87674%
14:  3.57853%
15:  3.87674%
16:  4.67197%
17:  3.97614%
18:  4.67197%
19:  3.87674%
20:  4.47316%
21:  4.87078%
22:  3.67793%
23:  4.67197%
24:  4.57256%


-- 29 --a:1  --b:27 ---
26 2 17 14 4 21 5 9 20 14 18 15 4 6 12 13 6 10 9 19 8 20 3 11 26 7 25 6 9 2 22 18 6 25 23 2 24 10 25 6 25 3 10 9 7 6 6 20 14 5 21 12 25 5 7 3 21 7 15 6 17 22 6 5 3 3 3 13 9 3 1 16 4 9 11 7 13 11 22 8 2 8 23 19 11 15 1 5 15 15 1 25 22 4 4 18 22 9 19 23 10 4 26 24 23 15 10 12 20 19 9 23 17 9 13 9 9 13 26 1 13 26 25 6 26 17 15 22 20 13 22 14 4 7 11 10 11 19 4 3 14 16 23 26 15 13 16 18 6 12 21 18 13 10 22 22 26 23 6 3 26 8 15 4 14 19 14 11 11 24 10 24 10 12 12 7 7 3 18 19 17 15 5 2 5 1 10 10 9 16 17 13 1 26 17 22 26 19 8 21 14 24 17 10 1 10 23 15 25 2 21 8 7 2 7 13 16 1 6 19 17 4 25 11 10 5 3 22 2 6 26 17 23 11 6 25 24 16 2 5 8 4 9 12 24 9 2 4 11 24 23 14 18 23 22 24 24 21 15 14 2 17 10 14 9 16 11 4 24 14 1 1 9 6 22 14 24 13 8 9 6 24 24 16 17 9 7 15 17 1 21 7 10 26 1 16 7 7 23 9 1 5 10 21 21 15 2 26 14 1 17 14 4 13 23 5 19 8 4 21 22 5 3 22 9 14 6 10 24 1 16 14 7 19 13 18 4 23 9 7 21 3 11 3 21 22 5 6 14 5 24 26 22 4 4 15 4 2 9 3 24 24 23 25 6 6 7 8 23 2 19 16 19 22 20 25 20 18 2 22 17 10 12 6 14 22 6 11 19 22 4 21 15 23 6 8 17 23 10 14 22 18 10 4 24 17 22 26 15 10 2 21 7 15 24 9 18 5 25 4 9 6 12 26 12 19 20 1 26 1 14 11 13 15 18 17 3 21 9 7 5 25 5 16 10 10 10 23 21 11 11 11 8 24 10 4 26 20 13 4 13 23 23 11 4 3 15 8 11 6 21 26 23 9 14 21 18 6 5 17 19 18 11 22 2 16 24 15 4 22 23 8 16 9 8 7 24 17 12 1 3 16 3 13 16 7 14 4 14 11 10 7 9 13 14 7 18 21 3 6 13 24 5 4 8 26 11 22 23 14 10 12 20 12 8 23 14 24 10 6 14 22 2 2 26 3 13 19 3 20 14 16 1 2 17 25 26 11 20 1 5 17 21 10 10 4 11 11 14 22 22 16 5 21 24 19 11 12 25 10 20 8 5 9 8 8 5 21 10 22 14 18 5 8 12 25 24 3 5 7 12 2 22 18 14 6 1 21 10 7 1 23 2 13 22 1 10 15 4 3 5 16 15 1 25 3 20 19 10 7 12 11 3 16 2 25 22 20 1 23 9 17 20 15 5 17 3 13 13 5 19 9 18 15 20 18 25 12 3 4 8 26 7 13 4 21 19 10 23 20 1 16 9 3 7 5 20 3 19 10 25 8 17 13 18 18 17 22 13 1 19 13 23 20 20 8 1 4 14 26 22 8 10 16 1 20 17 14 21 13 16 24 18 22 18 7 13 2 15 11 6 4 26 4 5 26 7 19 20 14 20 7 3 14 6 8 22 17 16 24 16 22 11 21 3 1 11 10 18 12 11 25 17 17 2 7 23 4 3 26 15 19 2 2 14 1 10 10 6 25 2 18 20 9 22 21 18 23 10 10 20 15 17 16 7 8 11 4 17 5 20 6 23 21 21 4 14 17 18 17 18 7 26 22 6 26 9 23 19 19 5 13 10 11 9 20 16 5 14 4 6 15 23 5 16 2 25 26 18 20 16 26 19 6 7 23 9 19 23 6 20 15 1 8 3 13 7 26 17 8 10 14 21 26 6 6 14 6 20 24 20 25 10 22 8 24 2 22 22 4 18 16 19 26 22 2 24 6 19 5 2 22 2 24 10 17 24 21 13 5 24 26 23 22 8 13 25 13 11 20 19 9 15 9 5 23 3 21 8 3 26 4 9 2 10 23 19 5 3 18 15 4 14 7 4 23 17 15 25 19 17 17 15 19 6 15 5 13 20 3 5 14 23 2 17 9 10 3 3 26 18 3 16 8 7 22 17 19 8 15 2 4 1 10 10 3 3 4 9 22 20 4 18 23 23 24 10 23 26 5 18 13 17 26 21 6 7 17 23 10 7 6 3 18 19 21 25 16 9 17 11 4 24 21 2 1 12 17 10 6 4 4 6 8 4 6 10 3 1:  3.33988%
2:  3.63458%
3:  4.42043%
4:  4.91159%
5:  4.0275%
6:  4.71513%
7:  3.92927%
8:  3.43811%
9:  4.12574%
10:  5.50098%
11:  3.53635%
12:  1.96464%
13:  3.63458%
14:  4.22397%
15:  3.53635%
16:  3.14342%
17:  4.42043%
18:  3.43811%
19:  3.63458%
20:  3.43811%
21:  3.53635%
22:  4.71513%
23:  4.42043%
24:  3.63458%
25:  2.75049%
26:  3.92927%


-- 30 --a:1  --b:22 ---
21 14 16 9 17 13 6 8 7 13 20 5 2 12 20 1 17 10 14 2 13 1 15 7 11 13 15 5 4 6 21 20 17 18 19 14 4 20 8 8 13 19 1 17 11 17 4 11 4 8 19 5 5 6 1 4 14 19 8 7 3 10 19 21 11 21 3 5 18 14 15 13 19 10 16 20 13 7 4 20 20 10 4 3 19 4 17 6 13 13 7 16 16 14 13 12 17 5 1 14 13 16 3 10 9 12 21 19 14 19 2 12 16 21 9 3 5 8 9 20 17 11 15 4 12 18 19 18 9 16 13 4 9 11 8 10 7 20 14 21 18 12 2 4 12 11 6 8 14 19 19 20 6 13 1 10 17 16 4 11 12 20 17 3 18 3 16 16 19 10 8 9 18 10 12 9 2 21 19 17 18 13 17 3 10 15 9 2 8 8 18 14 3 10 20 6 18 20 20 8 11 15 12 7 10 13 18 18 12 10 15 7 6 20 1 15 18 9 19 15 18 15 3 10 10 21 21 19 7 6 13 17 20 5 3 1 7 1 9 10 12 18 21 10 14 20 11 8 8 15 9 13 1 4 20 20 12 19 2 2 5 21 9 21 21 18 1 6 10 9 2 13 1 15 1 15 21 5 15 21 1 3 4 13 20 12 8 10 14 5 17 12 2 2 18 11 2 7 10 15 11 11 16 7 11 14 21 5 8 15 18 12 20 2 4 4 17 14 10 19 21 20 5 14 13 10 3 12 19 17 18 9 8 4 3 13 21 15 13 11 17 3 2 18 9 5 5 7 11 13 17 14 6 8 13 10 1 14 16 11 10 13 10 9 11 17 7 13 13 18 10 18 12 21 11 19 7 9 12 7 4 11 14 11 17 8 14 1 17 10 11 20 11 16 1 12 3 9 9 17 13 2 2 3 8 4 16 3 15 1 2 9 6 8 8 16 17 6 4 17 18 17 18 11 17 3 3 5 8 5 18 15 1 18 20 20 1 6 15 3 1 3 11 1 21 8 18 3 11 1 21 2 21 2 1 8 1 12 9 8 2 11 7 17 18 10 12 12 2 20 2 3 20 6 13 4 13 18 1 17 5 20 3 2 11 9 7 14 12 7 4 11 20 7 9 17 4 5 1 7 6 3 9 2 8 6 9 11 21 19 9 1 1 2 2 1 18 13 12 9 12 7 1 16 12 4 8 21 14 7 8 13 16 19 16 5 4 10 3 1 2 10 14 1 8 5 16 21 17 18 18 5 4 20 15 1 2 14 18 12 16 20 2 19 4 19 2 15 15 11 14 10 15 14 15 18 16 5 7 12 2 4 17 1 7 14 20 21 17 8 15 5 8 11 17 4 13 14 10 21 17 16 11 18 1 11 5 1 9 4 9 17 8 8 19 16 17 9 3 7 2 3 7 16 2 21 2 4 5 3 14 14 6 17 12 8 20 19 21 15 6 4 10 13 16 9 13 10 5 2 15 18 12 1 17 3 8 18 18 14 5 8 10 11 4 9 5 14 8 15 11 4 7 9 17 2 11 2 3 5 20 5 15 20 16 3 21 4 2 19 5 5 8 15 4 18 20 12 11 11 19 10 7 2 12 11 2 19 12 9 18 7 5 6 11 16 14 19 11 12 14 19 14 8 10 3 17 17 12 6 6 8 20 18 14 8 3 13 17 4 18 2 12 10 18 8 11 3 12 5 7 18 2 2 7 18 11 2 5 16 16 7 10 11 3 3 5 10 20 18 18 2 2 3 6 10 17 20 14 18 19 1 18 17 2 5 21 11 15 21 1 2 10 13 16 11 3 7 6 18 6 6 12 5 2 1 6 11 15 8 14 11 2 7 12 12 13 14 20 5 5 15 1 7 9 5 1 6 18 9 6 11 10 9 3 20 5 18 15 1 13 2 18 12 13 15 12 10 10 12 4 7 13 6 4 21 3 16 5 5 16 9 1 12 17 20 3 3 1 21 12 8 14 2 4 4 14 11 9 13 7 4 18 9 8 6 16 18 5 13 17 10 21 3 5 12 14 12 4 2 17 13 15 7 17 12 5 17 21 17 2 15 7 14 13 14 12 14 7 17 9 10 15 15 18 15 18 8 12 10 18 6 17 4 9 4 3 15 15 15 17 12 21 6 8 6 3 15 5 9 19 11 7 4 12 7 6 9 10 12 16 6 10 11 19 6 4 21 6 19 7 11 8 4 9 16 2 8 15 7 21 17 21 2 15 13 19 5 9 16 8 11 16 21 1 13 4 16 15 18 1 9 1:  4.79042%
2:  5.58882%
3:  4.69062%
4:  4.89022%
5:  4.99002%
6:  3.79242%
7:  4.49102%
8:  5.08982%
9:  4.79042%
10:  4.99002%
11:  5.48902%
12:  5.38922%
13:  4.69062%
14:  4.49102%
15:  4.79042%
16:  3.79242%
17:  5.38922%
18:  5.88822%
19:  3.59281%
20:  4.19162%
21:  4.19162%


-- 31 --a:1  --b:37 ---
9 28 34 24 36 30 33 10 4 11 11 8 30 3 19 24 2 5 18 13 26 3 2 25 30 32 9 12 12 6 34 35 12 34 12 18 26 8 29 13 2 30 33 31 29 34 32 17 33 36 12 8 36 6 4 30 27 34 28 17 4 26 35 11 31 6 1 24 21 23 14 33 36 36 18 26 11 14 9 22 31 16 29 33 31 10 9 23 1 9 5 5 15 11 20 36 32 32 17 33 15 17 15 30 28 20 24 8 8 3 26 15 3 19 29 8 19 35 34 13 16 33 4 21 15 28 23 14 10 35 21 23 36 13 4 22 20 28 19 6 12 25 14 4 15 26 27 6 3 8 23 9 24 17 27 6 33 24 36 18 1 30 19 5 5 4 27 16 7 7 14 27 2 21 26 18 32 27 18 3 30 10 26 8 32 20 1 22 6 4 2 18 6 30 24 14 25 13 19 25 12 32 30 15 26 23 21 36 7 26 11 13 31 11 22 28 4 31 29 4 2 2 2 17 21 34 13 33 30 33 4 20 22 21 35 18 24 29 3 4 30 36 10 11 28 28 25 36 27 9 7 28 18 26 30 24 22 31 19 28 21 33 7 12 23 32 7 12 27 2 21 5 16 3 21 11 19 24 27 36 19 34 31 7 6 24 17 8 16 23 29 17 33 32 27 5 35 9 35 19 5 25 15 12 27 14 10 21 32 27 16 18 12 13 13 4 17 29 12 9 8 11 28 13 35 29 29 6 23 35 22 3 26 19 3 18 2 13 14 21 7 35 35 1 12 2 12 11 36 28 26 18 2 26 10 1 4 19 16 21 23 10 4 28 28 34 35 13 34 19 35 22 30 6 2 21 36 17 25 4 26 32 11 3 14 28 8 12 3 4 20 16 22 5 21 21 31 1 20 30 24 27 1 33 9 4 31 31 26 19 14 23 1 28 16 10 3 36 12 18 5 34 2 36 1 24 11 18 15 6 30 26 35 7 10 3 36 27 18 1 17 34 6 33 15 1 32 12 25 10 19 12 25 30 8 28 22 7 25 19 33 15 17 36 25 21 26 2 21 14 22 16 11 1 1 16 24 1 22 28 22 6 34 11 2 15 7 1 11 13 32 32 33 1 28 13 31 13 8 9 16 16 20 11 20 6 8 16 36 12 34 16 11 34 16 20 4 36 10 30 18 2 20 19 12 14 10 4 6 33 25 6 24 10 24 20 9 24 19 5 19 12 26 21 16 30 29 17 31 33 12 9 23 31 31 15 29 11 9 14 29 24 32 3 18 18 17 27 17 23 18 15 26 6 35 20 29 13 21 5 9 19 25 33 21 26 35 21 15 30 7 31 28 17 6 11 17 8 15 17 16 8 3 36 12 33 10 5 25 22 17 18 28 21 26 8 7 21 8 35 6 18 8 24 25 29 12 34 3 12 13 18 3 31 10 33 32 21 35 7 4 25 10 15 12 17 15 17 8 31 27 35 32 24 29 30 5 8 11 34 4 24 24 20 22 28 4 16 31 33 8 16 15 23 4 24 2 31 19 20 20 2 9 8 1 8 25 29 20 4 16 21 7 14 25 3 35 1 6 18 23 14 27 16 11 28 17 35 35 19 1 4 5 11 23 16 35 28 23 7 11 5 36 31 16 5 31 8 13 36 34 10 30 14 6 27 23 6 29 30 19 28 7 19 2 22 16 28 26 32 28 28 9 4 19 20 21 31 25 31 19 19 14 25 36 14 5 22 17 4 16 30 19 33 36 27 34 2 22 32 24 34 21 21 18 2 35 30 20 11 26 18 28 6 15 31 33 12 22 22 16 36 32 2 1 22 5 26 27 9 18 5 22 12 26 6 5 26 13 19 23 6 19 4 25 8 31 31 35 33 32 20 21 3 24 1 28 13 10 11 15 3 4 21 3 2 6 19 20 21 16 20 24 25 33 27 2 26 11 30 20 6 34 32 12 6 20 2 17 35 9 3 25 10 19 18 24 15 13 9 31 33 2 10 30 18 30 22 12 18 21 30 10 25 30 21 4 13 33 4 2 32 11 21 31 25 1 18 4 12 6 9 4 11 20 14 14 29 9 6 1 31 19 23 20 30 1 17 17 17 9 3 33 24 30 34 12 4 15 11 1 4 18 34 18 12 20 33 36 31 27 10 1 23 15 32 1 11 5 11 21 17 20 3 11 29 7 1 24 17 17 7 4 11 35 18 20 8 36 3 33 2 35 25 19 8 20 16 22 27 17 29 32 34 31 15 12 1 26 9 12 2 1 6 1 6 24 22 35 32 33 20 18 30 26 32 22 14 19 35 8 18 8 31 1:  3.125%
2:  2.92969%
3:  2.53906%
4:  3.61328%
5:  2.14844%
6:  3.22266%
7:  1.85547%
8:  2.92969%
9:  2.34375%
10:  2.24609%
11:  3.32031%
12:  3.41797%
13:  2.14844%
14:  2.05078%
15:  2.44141%
16:  2.83203%
17:  3.02734%
18:  3.41797%
19:  3.41797%
20:  3.02734%
21:  3.51562%
22:  2.53906%
23:  2.05078%
24:  2.92969%
